TIME,CH1
-5394.92187,-4.171875
-5374.92187,-2.484375
-5354.92187,-0.421875
-5334.92187,0.515625
-5314.92187,0.203125
-5294.92187,-0.21875
-5274.92187,-0.09375
-5254.92188,0.171875
-5234.92187,0.09375
-5214.92187,-0.078125
-5194.92187,-0.03125
-5174.92187,0.09375
-5154.92187,0.0625
-5134.92187,-0.046875
-5114.92187,0
-5094.92187,0.09375
-5074.92187,0.03125
-5054.92187,-0.0625
-5034.92187,0
-5014.92188,0.140625
-4994.92187,0.0625
-4974.92187,-0.1875
-4954.92187,-0.0625
-4934.92187,0.421875
-4914.92187,0.21875
-4894.92187,-1.40625
-4874.92187,-3.546875
-4854.92187,-4.53125
-4834.92187,-4.15625
-4814.92187,-3.671875
-4794.92187,-3.875
-4774.92188,-4.203125
-4754.92187,-4.078125
-4734.92187,-3.78125
-4714.92187,-3.859375
-4694.92187,-4.1875
-4674.92188,-4.1875
-4654.92187,-3.515625
-4634.92187,-2.40625
-4614.92187,-1.65625
-4594.92187,-1.796875
-4574.92187,-2.3125
-4554.92187,-2.09375
-4534.92188,-0.953125
-4514.92187,0.109375
-4494.92187,0.28125
-4474.92187,-0.046875
-4454.92187,-0.125
-4434.92188,0.078125
-4414.92187,0.125
-4394.92188,-0.015625
-4374.92187,-0.078125
-4354.92187,0.015625
-4334.92187,0.125
-4314.92187,0.0625
-4294.92188,-0.140625
-4274.92187,-0.140625
-4254.92187,0.46875
-4234.92187,1.546875
-4214.92187,2.3125
-4194.92188,2.21875
-4174.92187,1.8125
-4154.92188,1.890625
-4134.92187,2.25
-4114.92187,2.109375
-4094.92187,1.6875
-4074.92187,1.96875
-4054.92188,3.09375
-4034.92187,4.03125
-4014.92187,4.203125
-3994.92187,4.0625
-3974.92187,3.953125
-3954.92188,3.84375
-3934.92187,4.1875
-3914.92188,5.578125
-3894.92187,7.375
-3874.92187,8.203125
-3854.92187,7.984375
-3834.92187,7.890625
-3814.92188,8.25
-3794.92187,8.15625
-3774.92187,7.53125
-3754.92187,7.78125
-3734.92187,9.609375
-3714.92187,11.625
-3694.92187,12.375
-3674.92187,12.15625
-3654.92187,12.015625
-3634.92187,12
-3614.92187,11.734375
-3594.92187,11.890625
-3574.92187,13.390625
-3554.92187,15.53125
-3534.92187,16.625
-3514.92187,16.234375
-3494.92187,15.65625
-3474.92187,15.875
-3454.92187,16.328125
-3434.92187,16.15625
-3414.92187,15.703125
-3394.92187,15.890625
-3374.92187,16.5
-3354.92187,16.25
-3334.92187,14.546875
-3314.92187,12.4375
-3294.92187,11.453125
-3274.92187,11.84375
-3254.92187,12.390625
-3234.92188,12.15625
-3214.92187,11.65625
-3194.92187,11.875
-3174.92187,12.546875
-3154.92187,12.265625
-3134.92187,10.46875
-3114.92188,8.421875
-3094.92187,7.59375
-3074.92187,7.875
-3054.92187,8.171875
-3034.92187,8.125
-3014.92187,8.0625
-2994.92188,7.890625
-2974.92187,7.25
-2954.92187,6.25
-2934.92187,5.28125
-2914.92187,4.421875
-2894.92187,3.84375
-2874.92188,3.890625
-2854.92187,4.25
-2834.92187,4.046875
-2814.92187,3.125
-2794.92187,2.140625
-2774.92187,1.34375
-2754.92188,0.5
-2734.92187,-0.171875
-2714.92187,-0.1875
-2694.92187,0.15625
-2674.92187,0.15625
-2654.92187,-0.09375
-2634.92188,-0.078125
-2614.92187,0.125
-2594.92187,0.109375
-2574.92187,-0.078125
-2554.92187,-0.078125
-2534.92187,0.140625
-2514.92188,0.234375
-2494.92187,-0.265625
-2474.92187,-1.546875
-2454.92187,-3.15625
-2434.92187,-4.15625
-2414.92187,-4.1875
-2394.92188,-3.859375
-2374.92187,-3.859375
-2354.92187,-4.0625
-2334.92187,-4.078125
-2314.92187,-3.921875
-2294.92187,-3.90625
-2274.92188,-4.03125
-2254.92187,-4.046875
-2234.92187,-3.9375
-2214.92187,-3.90625
-2194.92187,-4.015625
-2174.92187,-4.046875
-2154.92188,-3.9375
-2134.92187,-3.90625
-2114.92187,-4.015625
-2094.92187,-4.09375
-2074.92187,-3.953125
-2054.92187,-3.828125
-2034.92188,-4
-2014.92187,-4.1875
-1994.92187,-3.984375
-1974.92187,-3.6875
-1954.92187,-3.9375
-1934.92187,-4.5
-1914.92188,-4.140625
-1894.92188,-2.390625
-1874.92187,-0.4375
-1854.92187,0.359375
-1834.92187,0.1875
-1814.92187,0.015625
-1794.92187,-0.046875
-1774.92187,-0.28125
-1754.92187,-0.0625
-1734.92187,1.40625
-1714.92187,3.5
-1694.92187,4.59375
-1674.92187,4.265625
-1654.92187,3.734375
-1634.92187,3.859375
-1614.92187,4.203125
-1594.92187,4.140625
-1574.92187,3.90625
-1554.92187,3.9375
-1534.92187,4.09375
-1514.92187,4.078125
-1494.92187,3.953125
-1474.92187,4
-1454.92187,4.0625
-1434.92187,4
-1414.92187,4
-1394.92187,4.1875
-1374.92187,3.859375
-1354.92187,2.484375
-1334.92187,0.71875
-1314.92188,-0.171875
-1294.92187,-0.0625
-1274.92187,0.15625
-1254.92188,0.03125
-1234.92187,-0.0625
-1214.92187,0.046875
-1194.92188,0.09375
-1174.92187,-0.015625
-1154.92187,-0.03125
-1134.92188,0.078125
-1114.92187,0.0625
-1094.92187,-0.03125
-1074.92188,0
-1054.92187,0.078125
-1034.92187,0.03125
-1014.92188,-0.03125
-994.921875,0.015625
-974.921875,0.078125
-954.921875,0.03125
-934.921875,-0.046875
-914.921875,0.015625
-894.921875,0.078125
-874.921875,0.015625
-854.921875,-0.046875
-834.921875,0.03125
-814.921875,0.09375
-794.921875,0
-774.921875,-0.0625
-754.921875,0.03125
-734.921875,0.140625
-714.921875,0.015625
-694.921875,-0.125
-674.921875,0.03125
-654.921875,0.234375
-634.921875,0.046875
-614.921875,-0.296875
-594.921875,-0.046875
-574.921875,0.578125
-554.921875,0.21875
-534.921875,-1.640625
-514.921875,-3.59375
-494.921875,-4.140625
-474.921875,-4.015625
-454.921875,-5.046875
-434.921875,-7.28125
-414.921875,-9.03125
-394.921875,-9.671875
-374.921875,-10.6875
-354.921875,-13.390625
-334.921875,-16.953125
-314.921875,-19.640625
-294.921875,-21.25
-274.921875,-23.3125
-254.921875,-26.828125
-234.921875,-30.984375
-214.921875,-34.40625
-194.921875,-37.0625
-174.921875,-40.34375
-154.921875,-45.0625
-134.921875,-50.359375
-114.921875,-54.953125
-94.921875,-59.15625
-74.921875,-64.390625
-54.921875,-70.859375
-34.921875,-76.859375
-14.921875,-81.15625
5.078125,-84.96875
25.078125,-90.109375
45.078125,-96.46875
65.078125,-102.734375
85.078125,-108.640625
105.078125,-114.71875
125.078125,-120.65625
145.078125,-125.484375
165.078125,-129.25
185.078125,-132.921875
205.078125,-136.90625
225.078125,-141.0625
245.078125,-145.28125
265.078125,-149.125
285.078125,-151.578125
305.078125,-152.5625
325.078125,-153.578125
345.078125,-155.328125
365.078125,-156.28125
385.078125,-155
405.078125,-152.46875
425.078125,-150.359375
445.078125,-148.53125
465.078125,-145.578125
485.078125,-141.21875
505.078125,-136.328125
525.078125,-131.390625
545.078125,-125.953125
565.078125,-119.5
585.078125,-112.046875
605.078125,-104.015625
625.078125,-95.796875
645.078125,-87.703125
665.078125,-79.890625
685.078125,-72.109375
705.078125,-63.6875
725.078125,-54.25
745.078125,-44.546875
765.078125,-35.71875
785.078125,-27.8125
805.078125,-19.9375
825.078125,-11.75
845.078125,-3.78125
865.078125,3.9375
885.078125,12.0625
905.078125,20.5625
925.078125,28.34375
945.078125,34.78125
965.078125,40.671875
985.078125,46.828125
1005.07813,52.71875
1025.07812,57.4375
1045.07812,61.21875
1065.07813,65.015625
1085.07812,69.109375
1105.07812,72.875
1125.07813,75.78125
1145.07812,77.875
1165.07812,79.390625
1185.07813,80.578125
1205.07812,81.78125
1225.07812,83.125
1245.07812,84.109375
1265.07812,84.265625
1285.07812,83.9375
1305.07812,83.921875
1325.07812,84.25
1345.07812,83.921875
1365.07812,82.4375
1385.07812,80.71875
1405.07812,79.953125
1425.07812,79.8125
1445.07812,78.796875
1465.07812,76.5
1485.07812,74.15625
1505.07812,72.890625
1525.07812,72.171875
1545.07812,70.796875
1565.07812,68.59375
1585.07812,66.328125
1605.07812,64.4375
1625.07812,62.625
1645.07812,60.546875
1665.07812,58.375
1685.07812,56.40625
1705.07812,54.640625
1725.07812,52.6875
1745.07812,50.09375
1765.07812,46.9375
1785.07812,44.125
1805.07812,42.3125
1825.07812,40.875
1845.07812,38.609375
1865.07812,35.421875
1885.07812,32.40625
1905.07813,30.265625
1925.07812,28.5625
1945.07812,26.609375
1965.07812,24.4375
1985.07812,22.390625
2005.07812,20.53125
2025.07813,18.59375
2045.07812,16.46875
2065.07812,14.34375
2085.07812,12.46875
2105.07812,10.71875
2125.07812,8.5625
2145.07813,6.03125
2165.07812,4.28125
2185.07812,4.046875
2205.07812,4.109375
2225.07812,2.78125
2245.07812,0.515625
2265.07813,-0.65625
2285.07812,-0.1875
2305.07812,0.40625
2325.07812,0.15625
2345.07812,-0.21875
2365.07812,-0.09375
2385.07813,0.140625
2405.07812,0.15625
2425.07812,0.53125
2445.07812,1.765625
2465.07812,3.171875
2485.07812,3.671875
2505.07813,3.46875
2525.07812,3.96875
2545.07812,5.78125
2565.07812,7.546875
2585.07812,8
2605.07812,8.078125
2625.07813,9.421875
2645.07812,11.453125
2665.07812,12.3125
2685.07812,12.203125
2705.07812,13.046875
2725.07812,15.1875
2745.07813,17.03125
2765.07812,17.921875
2785.07812,18.765625
2805.07812,19.90625
2825.07812,20.703125
2845.07812,21.390625
2865.07813,23.125
2885.07812,25.796875
2905.07812,27.703125
2925.07812,27.984375
2945.07812,27.953125
2965.07812,29.328125
2985.07813,31.859375
3005.07812,33.859375
3025.07812,34.78125
3045.07812,35.859375
3065.07812,37.875
3085.07812,39.625
3105.07813,40
3125.07812,40.0625
3145.07812,41.390625
3165.07812,43.4375
3185.07812,44.453125
3205.07812,44.359375
3225.07812,44.578125
3245.07812,45.65625
3265.07812,46.890625
3285.07812,47.6875
3305.07812,48.125
3325.07812,48.15625
3345.07812,47.890625
3365.07812,47.890625
3385.07812,48.34375
3405.07812,48.25
3425.07812,46.703125
3445.07812,44.46875
3465.07812,43.28125
3485.07812,43.796875
3505.07812,44.734375
3525.07812,44.3125
3545.07812,42.359375
3565.07812,40.390625
3585.07812,39.703125
3605.07812,39.921875
3625.07812,40.046875
3645.07812,40.03125
3665.07812,40.28125
3685.07812,40.171875
3705.07812,38.703125
3725.07812,36.515625
3745.07812,35.390625
3765.07812,35.8125
3785.07813,36.40625
3805.07812,36.203125
3825.07813,35.734375
3845.07812,35.78125
3865.07812,36.4375
3885.07812,37.59375
3905.07812,39.109375
3925.07813,40.265625
3945.07812,40.296875
3965.07812,39.71875
3985.07812,40.03125
4005.07812,41.65625
4025.07813,43.4375
4045.07812,44.203125
4065.07813,44
4085.07812,43.765625
4105.07812,44.296875
4125.07812,45.6875
4145.07812,47.171875
4165.07813,47.984375
4185.07812,48.46875
4205.07812,49.546875
4225.07812,51.09375
4245.07812,52.109375
4265.07813,52.515625
4285.07812,53.421875
4305.07813,55.046875
4325.07812,56.3125
4345.07812,56.4375
4365.07812,55.890625
4385.07812,55.515625
4405.07813,56
4425.07812,57.53125
4445.07812,59.453125
4465.07812,60.515625
4485.07812,60.328125
4505.07812,59.796875
4525.07812,59.78125
4545.07813,60.171875
4565.07812,60.34375
4585.07812,59.796875
4605.07812,58.375
4625.07812,56.703125
