TIME,CH1
2.44000000e-09,-5.76562500e-03
2.46000000e-09,-6.20312500e-03
2.48000000e-09,-6.12500000e-03
2.50000000e-09,-5.79687500e-03
2.52000000e-09,-5.84375000e-03
2.54000000e-09,-6.15625000e-03
2.56000000e-09,-6.12500000e-03
2.58000000e-09,-5.75000000e-03
2.60000000e-09,-5.73437500e-03
2.62000000e-09,-6.48437500e-03
2.64000000e-09,-7.57812500e-03
2.66000000e-09,-8.21875000e-03
2.68000000e-09,-8.12500000e-03
2.70000000e-09,-7.84375000e-03
2.72000000e-09,-7.89062500e-03
2.74000000e-09,-8.10937500e-03
2.76000000e-09,-8.06250000e-03
2.78000000e-09,-7.82812500e-03
2.80000000e-09,-7.87500000e-03
2.82000000e-09,-8.23437500e-03
2.84000000e-09,-8.18750000e-03
2.86000000e-09,-7.37500000e-03
2.88000000e-09,-6.39062500e-03
2.90000000e-09,-5.98437500e-03
2.92000000e-09,-5.82812500e-03
2.94000000e-09,-5.12500000e-03
2.96000000e-09,-4.03125000e-03
2.98000000e-09,-3.62500000e-03
3.00000000e-09,-4.06250000e-03
3.02000000e-09,-4.00000000e-03
3.04000000e-09,-2.51562500e-03
3.06000000e-09,-5.62500000e-04
3.08000000e-09,3.12500000e-04
3.10000000e-09,1.56250000e-05
3.12000000e-09,-2.96875000e-04
3.14000000e-09,2.65625000e-04
3.16000000e-09,1.65625000e-03
3.18000000e-09,3.20312500e-03
3.20000000e-09,4.20312500e-03
3.22000000e-09,4.23437500e-03
3.24000000e-09,3.78125000e-03
3.26000000e-09,4.06250000e-03
3.28000000e-09,5.62500000e-03
3.30000000e-09,7.43750000e-03
3.32000000e-09,8.17187500e-03
3.34000000e-09,7.98437500e-03
3.36000000e-09,7.93750000e-03
3.38000000e-09,8.18750000e-03
3.40000000e-09,8.07812500e-03
3.42000000e-09,7.70312500e-03
3.44000000e-09,7.98437500e-03
3.46000000e-09,9.09375000e-03
3.48000000e-09,1.00468750e-02
3.50000000e-09,1.02187500e-02
3.52000000e-09,1.00000000e-02
3.54000000e-09,9.93750000e-03
3.56000000e-09,1.00156250e-02
3.58000000e-09,1.00625000e-02
3.60000000e-09,1.00312500e-02
3.62000000e-09,9.95312500e-03
3.64000000e-09,1.00156250e-02
3.66000000e-09,1.02031250e-02
3.68000000e-09,1.00468750e-02
3.70000000e-09,9.10937500e-03
3.72000000e-09,8.00000000e-03
3.74000000e-09,7.67187500e-03
3.76000000e-09,8.04687500e-03
3.78000000e-09,8.23437500e-03
3.80000000e-09,8.00000000e-03
3.82000000e-09,7.90625000e-03
3.84000000e-09,8.03125000e-03
3.86000000e-09,8.01562500e-03
3.88000000e-09,8.06250000e-03
3.90000000e-09,8.71875000e-03
3.92000000e-09,9.85937500e-03
3.94000000e-09,1.08750000e-02
3.96000000e-09,1.15781250e-02
3.98000000e-09,1.20156250e-02
4.00000000e-09,1.21718750e-02
4.02000000e-09,1.21093750e-02
4.04000000e-09,1.20625000e-02
4.06000000e-09,1.17343750e-02
4.08000000e-09,1.05781250e-02
4.10000000e-09,8.87500000e-03
4.12000000e-09,7.75000000e-03
4.14000000e-09,7.75000000e-03
4.16000000e-09,8.20312500e-03
4.18000000e-09,8.25000000e-03
4.20000000e-09,7.90625000e-03
4.22000000e-09,7.71875000e-03
4.24000000e-09,8.06250000e-03
4.26000000e-09,8.53125000e-03
4.28000000e-09,8.12500000e-03
4.30000000e-09,6.45312500e-03
4.32000000e-09,4.51562500e-03
4.34000000e-09,3.64062500e-03
4.36000000e-09,3.81250000e-03
4.38000000e-09,4.06250000e-03
4.40000000e-09,4.10937500e-03
4.42000000e-09,4.28125000e-03
4.44000000e-09,4.10937500e-03
4.46000000e-09,2.67187500e-03
4.48000000e-09,5.46875000e-04
4.50000000e-09,-5.78125000e-04
4.52000000e-09,-2.18750000e-04
4.54000000e-09,3.43750000e-04
4.56000000e-09,1.87500000e-04
4.58000000e-09,-1.87500000e-04
4.60000000e-09,-9.37500000e-05
4.62000000e-09,1.71875000e-04
4.64000000e-09,9.37500000e-05
4.66000000e-09,-9.37500000e-05
4.68000000e-09,-3.12500000e-05
4.70000000e-09,1.09375000e-04
4.72000000e-09,6.25000000e-05
4.74000000e-09,-6.25000000e-05
4.76000000e-09,0.00000000e+00
4.78000000e-09,1.09375000e-04
4.80000000e-09,3.12500000e-05
4.82000000e-09,-7.81250000e-05
4.84000000e-09,0.00000000e+00
4.86000000e-09,1.40625000e-04
4.88000000e-09,3.12500000e-05
4.90000000e-09,-1.56250000e-04
4.92000000e-09,1.56250000e-05
4.94000000e-09,3.28125000e-04
4.96000000e-09,3.12500000e-05
4.98000000e-09,-1.03125000e-03
5.00000000e-09,-2.00000000e-03
5.02000000e-09,-2.17187500e-03
5.04000000e-09,-1.93750000e-03
5.06000000e-09,-1.93750000e-03
5.08000000e-09,-2.06250000e-03
5.10000000e-09,-1.90625000e-03
5.12000000e-09,-1.78125000e-03
5.14000000e-09,-2.39062500e-03
5.16000000e-09,-3.53125000e-03
5.18000000e-09,-4.26562500e-03
5.20000000e-09,-4.17187500e-03
5.22000000e-09,-3.82812500e-03
5.24000000e-09,-3.79687500e-03
5.26000000e-09,-4.09375000e-03
5.28000000e-09,-4.23437500e-03
5.30000000e-09,-3.70312500e-03
5.32000000e-09,-2.37500000e-03
5.34000000e-09,-7.81250000e-04
5.36000000e-09,1.71875000e-04
5.38000000e-09,2.03125000e-04
5.40000000e-09,-7.81250000e-05
5.42000000e-09,-6.25000000e-05
5.44000000e-09,9.37500000e-05
5.46000000e-09,6.25000000e-05
